,MANDT,BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,MONAT,CPUDT,CPUTM,AEDAT,UPDDT,WWERT,USNAM,TCODE,BVORG,XBLNR,DBBLG,STBLG,STJAH,BKTXT,WAERS,KURSF,KZWRS,KZKRS,BSTAT,XNETB,FRATH,XRUEB,GLVOR,GRPID,DOKID,ARCID,IBLAR,AWTYP,AWKEY,FIKRS,HWAER,HWAE2,HWAE3,KURS2,KURS3,BASW2,BASW3,UMRD2,UMRD3,XSTOV,STODT,XMWST,CURT2,CURT3,KUTY2,KUTY3,XSNET,AUSBK,XUSVR,DUEFL,AWSYS,TXKRS,CTXKRS,LOTKZ,XWVOF,STGRD,PPNAM,BRNCH,NUMPG,ADISC,XREF1_HD,XREF2_HD,XREVERSAL,REINDAT,RLDNR,LDGRP,PROPMANO,XBLNR_ALT,VATDATE,DOCCAT,XSPLIT,CASH_ALLOC,FOLLOW_ON,XREORG,SUBSET,KURST,KURSX,KUR2X,KUR3X,XMCA,RESUBMISSION,/SAPF15/STATUS,PSOTY,PSOAK,PSOKS,PSOSG,PSOFN,INTFORM,INTDATE,PSOBT,PSOZL,PSODT,PSOTM,FM_UMART,CCINS,CCNUM,SSBLK,BATCH,SNAME,SAMPLED,EXCLUDE_FLAG,BLIND,OFFSET_STATUS,OFFSET_REFER_DAT,PENRC,KNUMV
0,375,US00,90000000,2016,RV,5/27/16,5/27/16,5,5/27/16,1:50:33 PM,,,5/27/16,GBI-005,VF01,,Z997,,,0,,USD,1,,0,,,0,,SD00,,,,,VBRK,90000000,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
1,375,US00,90000001,2016,RV,5/27/16,5/27/16,5,5/27/16,1:50:42 PM,,,5/27/16,GBI-005,VF01,,Z998,,,0,,USD,1,,0,,,0,,SD00,,,,,VBRK,90000001,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
2,375,US00,90000002,2016,RV,5/27/16,5/27/16,5,5/27/16,1:50:44 PM,,,5/27/16,GBI-005,VF01,,Z999,,,0,,USD,1,,0,,,0,,SD00,,,,,VBRK,90000002,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
3,375,US00,1400000000,2016,DZ,5/27/16,5/27/16,5,5/27/16,1:53:58 PM,,,5/27/16,GBI-005,FBZ1,,,,,0,,USD,0,,0,,,0,,RFBU,,,,,BKPF,1400000000US002016,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
4,375,US00,1400000001,2016,DZ,5/27/16,5/27/16,5,5/27/16,1:53:58 PM,,,5/27/16,GBI-005,FBZ1,,,,,0,,USD,0,,0,,,0,,RFBU,,,,,BKPF,1400000001US002016,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
5,375,US00,1400000002,2016,DZ,5/27/16,5/27/16,5,5/27/16,1:54:22 PM,,,5/27/16,GBI-005,FBZ1,,,,,0,,USD,0,,0,,,0,,RFBU,,,,,BKPF,1400000002US002016,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
6,375,US00,1500000000,2016,KZ,5/30/16,5/30/16,5,5/30/16,12:34:28 PM,,,5/30/16,GBI-005,FBZ2,,,,,0,,USD,0,,0,,,0,,RFBU,,,,,BKPF,1500000000US002016,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
7,375,US00,1500000001,2017,KZ,1/24/17,1/24/17,1,1/24/17,10:17:20 AM,,,1/24/17,GBI-005,FBZ2,,,,,0,,USD,0,,0,,,0,,RFBU,,,,,BKPF,1500000001US002017,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
8,375,US00,1500000002,2017,KZ,1/24/17,1/24/17,1,1/24/17,10:49:04 AM,,,1/24/17,GBI-005,FBZ2,,,,,0,,USD,0,,0,,,0,,RFBU,,,,,BKPF,1500000002US002017,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
9,375,US00,1500000003,2017,KZ,1/24/17,1/24/17,1,1/24/17,12:02:12 PM,,,1/24/17,GBI-005,FBZ2,,,,,0,,USD,0,,0,,,0,,RFBU,,,,,BKPF,1500000003US002017,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
10,375,US00,1500000004,2017,KZ,1/24/17,1/24/17,1,1/24/17,7:30:44 PM,,,1/24/17,GBI-005,FBZ2,,,,,0,,USD,0,,0,,,0,,RFBU,,,,,BKPF,1500000004US002017,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
11,375,US00,1500000005,2017,KZ,1/25/17,1/25/17,1,1/25/17,2:47:02 PM,,,1/25/17,GBI-005,FBZ2,,,,,0,,USD,0,,0,,,0,,RFBU,,,,,BKPF,1500000005US002017,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
12,375,US00,1500000006,2017,KZ,1/25/17,1/25/17,1,1/25/17,3:27:32 PM,,,1/25/17,GBI-005,FBZ2,,,,,0,,USD,0,,0,,,0,,RFBU,,,,,BKPF,1500000006US002017,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
13,375,US00,1500000007,2017,KZ,1/26/17,1/26/17,1,1/26/17,2:41:00 PM,,,1/26/17,GBIFAC-01,FBZ2,,,,,0,,USD,0,,0,,,0,,RFBU,,,,,BKPF,1500000007US002017,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
14,375,US00,1500000008,2017,KZ,1/26/17,1/26/17,1,1/26/17,4:22:03 PM,,,1/26/17,GBI-005,FBZ2,,,,,0,,USD,0,,0,,,0,,RFBU,,,,,BKPF,1500000008US002017,,USD,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,False,,,,M,0,0,0,,,,,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,
